Date,Roll No,Name,Status
2025-11-03 19:22:43,101,Aarav,Present
2025-11-03 19:22:43,102,Divya,Present
2025-11-03 19:22:43,103,Karan,Present
2025-11-03 19:22:43,104,Meera,Absent
2025-11-03 19:22:43,105,Rohan,Absent
2025-11-03 19:22:43,106,Ishita,Absent
2025-11-03 19:22:43,107,Arjun,Present
2025-11-03 19:22:43,108,Neha,Absent
2025-11-03 19:22:43,109,Manav,Present
2025-11-03 19:22:43,110,Simran,Absent
2025-11-03 19:22:43,111,Vikram,Present
2025-11-03 19:22:43,112,Ananya,Absent
2025-11-03 19:22:43,113,Reyansh,Absent
